Speaker_1,Speaker_2,Speaker_1_Time_Sec,Speaker_2_Time_Sec,Raw_Time_Diff_Sec,Matched_Phrase,Estimated_Distance_Ft,Estimated_Distance_M
Kush,Alicia,25.14,10.5,14.64,in the beginning were,16474.83,5021.52
Kush,Alicia,25.451,11.0,14.4511,the beginning were all,16262.27,4956.73
Kush,Alicia,25.762,11.5,14.2622,beginning were all talking,16049.71,4891.94
Kush,Alicia,26.073,12.0,14.0733,were all talking to,15837.14,4827.15
Kush,Alicia,26.384,12.5,13.8844,all talking to each,15624.58,4762.36
Kush,Alicia,26.696,13.0,13.6956,talking to each other,15412.02,4697.58
Kush,Alicia,27.007,13.5,13.5067,to each other and,15199.46,4632.79
Kush,Alicia,27.318,14.0,13.3178,each other and then,14986.89,4568.0
Kush,Alicia,30.12,16.0,14.12,you talk to him,15889.66,4843.16
Kush,Alicia,30.665,16.5,14.165,talk to him hes,15940.3,4858.59
Kush,Alicia,31.21,17.0,14.21,to him hes going,15990.94,4874.03
Kush,Alicia,31.755,17.5,14.255,him hes going to,16041.58,4889.46
Kush,Alicia,32.3,18.0,14.3,hes going to come,16092.22,4904.9
Kush,Alicia,32.522,18.333,14.1889,going to come over,15967.18,4866.79
Kush,Alicia,32.744,18.667,14.0778,to come over and,15842.15,4828.68
Kush,Alicia,32.967,19.0,13.9667,come over and talk,15717.11,4790.57
Kush,Alicia,33.189,19.333,13.8556,over and talk to,15592.07,4752.46
Kush,Alicia,33.411,19.667,13.7444,and talk to you,15467.04,4714.34
Kush,Alicia,34.509,21.25,13.2589,three ill talk to,14920.63,4547.8
Kush,Alicia,34.718,21.5,13.2178,ill talk to you,14874.36,4533.7
Kush,Alicia,34.927,21.75,13.1767,talk to you or,14828.1,4519.6
Kush,Alicia,35.136,22.0,13.1356,to you or something,14781.83,4505.5
Kush,Alicia,36.18,23.0,13.18,basically the teacher should,14831.85,4520.74
Kush,Alicia,36.433,23.3,13.1333,the teacher should be,14779.33,4504.73
Kush,Alicia,36.687,23.6,13.0867,teacher should be talking,14726.82,4488.73
Kush,Alicia,37.953,24.8,13.1533,to one student only,14801.84,4511.59
Kush,Alicia,41.86,28.0,13.86,yes do you press,15597.07,4753.98
Kush,Alicia,42.173,28.333,13.84,do you press the,15574.57,4747.12
Kush,Alicia,42.487,28.667,13.82,you press the record,15552.06,4740.26
Kush,Alicia,42.8,29.0,13.8,press the record yeah,15529.55,4733.4
Kush,Alicia,45.14,32.0,13.14,when he stops is,14786.84,4507.02
Kush,Alicia,45.933,32.571,13.3619,he stops is when,15036.55,4583.13
Kush,Alicia,46.727,33.143,13.5838,stops is when we,15286.27,4659.25
Kush,Alicia,50.574,36.429,14.1457,i have a white,15918.6,4851.98
Kush,Alicia,111.728,98.4,13.328,class class can you,14998.4,4571.5
Kush,Alicia,112.236,98.8,13.436,class can you guys,15119.93,4608.55
Kush,Alicia,112.744,99.2,13.544,can you guys see,15241.47,4645.59
Kush,Alicia,113.252,99.6,13.652,you guys see the,15363.01,4682.64
Kush,Alicia,113.76,100.0,13.76,guys see the board,15484.54,4719.68
Kush,Alicia,114.268,100.4,13.868,see the board properly,15606.08,4756.72
Kush,Alicia,114.776,100.8,13.976,the board properly yeah,15727.61,4793.77
Kush,Alicia,115.284,101.2,14.084,board properly yeah i,15849.15,4830.81
Kush,Alicia,115.792,101.6,14.192,properly yeah i can,15970.68,4867.86
Kush,Alicia,116.3,102.0,14.3,yeah i can see,16092.22,4904.9
Kush,Alicia,116.6,102.333,14.2667,i can see the,16054.71,4893.47
Kush,Alicia,116.9,102.667,14.2333,can see the board,16017.2,4882.03
Kush,Alicia,118.1,105.15,12.95,so today were going,14573.02,4441.85
Kush,Alicia,118.307,105.3,13.0067,today were going to,14636.79,4461.29
Kush,Alicia,118.513,105.45,13.0633,were going to be,14700.56,4480.72
Kush,Alicia,118.72,105.6,13.12,going to be going,14764.33,4500.16
Kush,Alicia,118.927,105.75,13.1767,to be going over,14828.1,4519.6
Kush,Alicia,119.133,105.9,13.2333,be going over what,14891.87,4539.03
Kush,Alicia,119.34,106.05,13.29,going over what type,14955.64,4558.47
Kush,Alicia,119.547,106.2,13.3467,over what type of,15019.4,4577.91
Kush,Alicia,119.753,106.35,13.4033,what type of animal,15083.17,4597.34
Kush,Alicia,119.96,106.5,13.46,type of animal were,15146.94,4616.78
Kush,Alicia,120.167,106.65,13.5167,of animal were going,15210.71,4636.22
Kush,Alicia,120.373,106.8,13.5733,animal were going to,15274.48,4655.65
Kush,Alicia,120.58,105.45,15.13,were going to be,17026.24,5189.59
Kush,Alicia,120.866,107.1,13.7657,going to be seeing,15490.97,4721.64
Kush,Alicia,121.151,107.25,13.9014,to be seeing today,15643.69,4768.19
Kush,Alicia,122.58,109.0,13.58,animals i love animals,15281.98,4657.94
Kush,Alicia,124.602,111.182,13.42,so first things first,15101.93,4603.06
Kush,Alicia,124.824,111.364,13.46,first things first im,15146.94,4616.78
Kush,Alicia,125.045,111.545,13.5,things first im going,15191.95,4630.5
Kush,Alicia,125.267,111.727,13.54,first im going to,15236.97,4644.22
Kush,Alicia,125.489,111.909,13.58,im going to draw,15281.98,4657.94
Kush,Alicia,125.711,112.091,13.62,going to draw a,15326.99,4671.66
Kush,Alicia,125.933,112.273,13.66,to draw a picture,15372.01,4685.38
Kush,Alicia,126.155,112.455,13.7,draw a picture my,15417.02,4699.1
Kush,Alicia,126.376,112.636,13.74,a picture my favorite,15462.03,4712.82
Kush,Alicia,126.598,112.818,13.78,picture my favorite animal,15507.05,4726.54
Kush,Alicia,126.82,113.0,13.82,my favorite animal is,15552.06,4740.26
Kush,Alicia,129.74,116.0,13.74,well get to that,15462.03,4712.82
Kush,Alicia,129.89,116.125,13.765,get to that in,15490.17,4721.4
Kush,Alicia,130.04,116.25,13.79,to that in a,15518.3,4729.97
Kush,Alicia,130.19,116.375,13.815,that in a little,15546.43,4738.54
Kush,Alicia,130.34,116.5,13.84,in a little bit,15574.57,4747.12
Kush,Alicia,130.49,116.625,13.865,a little bit monkeys,15602.7,4755.7
Kush,Alicia,130.64,116.75,13.89,little bit monkeys i,15630.83,4764.27
Kush,Alicia,130.79,116.875,13.915,bit monkeys i like,15658.97,4772.84
Kush,Alicia,130.94,117.0,13.94,monkeys i like monkeys,15687.1,4781.42
Kush,Alicia,131.66,117.4,14.26,i like monkeys too,16047.21,4891.18
Kush,Alicia,131.95,117.8,14.15,like monkeys too theyre,15923.42,4853.45
Kush,Alicia,132.24,118.2,14.04,monkeys too theyre pretty,15799.63,4815.72
Kush,Alicia,132.53,118.6,13.93,too theyre pretty yeah,15675.85,4777.99
Kush,Alicia,132.82,119.0,13.82,theyre pretty yeah no,15552.06,4740.26
Kush,Alicia,133.393,119.667,13.7267,pretty yeah no but,15447.03,4708.25
Kush,Alicia,133.967,120.333,13.6333,yeah no but your,15342.0,4676.23
Kush,Alicia,134.54,121.0,13.54,no but your apples,15236.97,4644.22
Kush,Alicia,135.031,121.429,13.6029,but your apples are,15307.7,4665.78
Kush,Alicia,135.523,121.857,13.6657,your apples are actually,15378.44,4687.34
Kush,Alicia,136.014,122.286,13.7286,apples are actually better,15449.17,4708.9
Kush,Alicia,136.506,122.714,13.7914,are actually better no,15519.91,4730.46
Kush,Alicia,136.997,123.143,13.8543,actually better no because,15590.64,4752.02
Kush,Alicia,137.489,123.571,13.9171,better no because they,15661.38,4773.58
Kush,Alicia,137.98,124.0,13.98,no because they have,15732.11,4795.14
Kush,Alicia,138.28,124.5,13.78,because they have long,15507.05,4726.54
Kush,Alicia,138.58,125.0,13.58,they have long necks,15281.98,4657.94
Kush,Alicia,138.88,125.5,13.38,have long necks monkeys,15056.92,4589.34
Kush,Alicia,139.18,126.0,13.18,long necks monkeys have,14831.85,4520.74
Kush,Alicia,139.48,126.5,12.98,necks monkeys have long,14606.78,4452.14
Kush,Alicia,140.58,127.0,13.58,monkeys have long necks,15281.98,4657.94
Kush,Alicia,141.32,127.5,13.82,have long necks only,15552.06,4740.26
Kush,Alicia,142.06,128.0,14.06,long necks only some,15822.14,4822.58
Kush,Alicia,143.54,130.0,13.54,only some im going,15236.97,4644.22
Kush,Alicia,144.0,130.5,13.5,some im going to,15191.95,4630.5
Kush,Alicia,144.46,111.909,32.5509,im going to draw,36630.51,11164.96
Kush,Alicia,144.584,112.091,32.4935,going to draw a,36565.95,11145.28
Kush,Alicia,144.709,112.273,32.4362,to draw a picture,36501.39,11125.6
Kush,Alicia,144.833,131.333,13.5,draw a picture on,15191.95,4630.5
Kush,Alicia,144.958,131.444,13.5133,a picture on the,15206.96,4635.07
Kush,Alicia,145.082,131.556,13.5267,picture on the board,15221.96,4639.65
Kush,Alicia,145.207,131.667,13.54,on the board whoever,15236.97,4644.22
