Speaker_1,Speaker_2,Speaker_1_Time_Sec,Speaker_2_Time_Sec,Matched_Phrase,Time_Delta_Sec,Distance_Feet,Distance_Meters
Kush,Alicia,25.14,10.5,in the beginning were,14.64,16474.83,5021.52
Kush,Alicia,25.451,11.0,the beginning were all,14.4511,16262.27,4956.73
Kush,Alicia,25.762,11.5,beginning were all talking,14.2622,16049.71,4891.94
Kush,Alicia,26.073,12.0,were all talking to,14.0733,15837.14,4827.15
Kush,Alicia,26.384,12.5,all talking to each,13.8844,15624.58,4762.36
Kush,Alicia,26.696,13.0,talking to each other,13.6956,15412.02,4697.58
Kush,Alicia,27.007,13.5,to each other and,13.5067,15199.46,4632.79
Kush,Alicia,27.318,14.0,each other and then,13.3178,14986.89,4568.0
Kush,Alicia,30.12,16.0,you talk to him,14.12,15889.66,4843.16
Kush,Alicia,30.665,16.5,talk to him hes,14.165,15940.3,4858.59
Kush,Alicia,31.21,17.0,to him hes going,14.21,15990.94,4874.03
Kush,Alicia,31.755,17.5,him hes going to,14.255,16041.58,4889.46
Kush,Alicia,32.3,18.0,hes going to come,14.3,16092.22,4904.9
Kush,Alicia,32.522,18.333,going to come over,14.1889,15967.18,4866.79
Kush,Alicia,32.744,18.667,to come over and,14.0778,15842.15,4828.68
Kush,Alicia,32.967,19.0,come over and talk,13.9667,15717.11,4790.57
Kush,Alicia,33.189,19.333,over and talk to,13.8556,15592.07,4752.46
Kush,Alicia,33.411,19.667,and talk to you,13.7444,15467.04,4714.34
Kush,Alicia,34.509,21.25,three ill talk to,13.2589,14920.63,4547.8
Kush,Alicia,34.718,21.5,ill talk to you,13.2178,14874.36,4533.7
Kush,Alicia,34.927,21.75,talk to you or,13.1767,14828.1,4519.6
Kush,Alicia,35.136,22.0,to you or something,13.1356,14781.83,4505.5
Kush,Alicia,36.18,23.0,basically the teacher should,13.18,14831.85,4520.74
Kush,Alicia,36.433,23.3,the teacher should be,13.1333,14779.33,4504.73
Kush,Alicia,36.687,23.6,teacher should be talking,13.0867,14726.82,4488.73
Kush,Alicia,37.953,24.8,to one student only,13.1533,14801.84,4511.59
Kush,Alicia,41.86,28.0,yes do you press,13.86,15597.07,4753.98
Kush,Alicia,42.173,28.333,do you press the,13.84,15574.57,4747.12
Kush,Alicia,42.487,28.667,you press the record,13.82,15552.06,4740.26
Kush,Alicia,42.8,29.0,press the record yeah,13.8,15529.55,4733.4
Kush,Alicia,45.14,32.0,when he stops is,13.14,14786.84,4507.02
Kush,Alicia,45.933,32.571,he stops is when,13.3619,15036.55,4583.13
Kush,Alicia,46.727,33.143,stops is when we,13.5838,15286.27,4659.25
